Question,Answer,Label
How many courses are offered at IIT Bhilai?,"IIT Bhilai offers nearly 20 courses at UG, PG and PhD level. ",0
Why IIT Bhilai has no ranking in NIRF?,"The Institute is a new establishment that started functioning from 2016. Hence, NIRF has not ranked it yet as the first batch is yet to pass.",0
How big is the campus of IIT Bhilai?,"IIT Bhilai is presently conducting all the activities in its transit campus at Government Engineering College (GEC), Raipur. This campus occupies an area of 432 acre.",0
Is there a chance of branch change at IIT Bhilai?,It depends on the performance of the student in the first year. Less than 10% of students get to change their branch.,0
Is there any scholarship or fellowship granted by IIT Bhilai?,"Yes, the Institute offers various scholarship schemes, including Merit-cum-Means, SC/ST Scholarships, Free Studentship, etc. Non-sponsored MTech students and PhD students are paid fellowship for a maximum of 21 months and three years, respectively, by IIT Bhilai.",0
What is the total fee for MTech in Computer Science and Engineering at IIT Bhilai?,"The total fee for the MTech programme is INR 86,000.",0
Which exam score is accepted for admission to MSc in Physics at IIT Bhilai?,"In order to secure admission to IIT Bhilai MSc programme, aspirants need to qualify IIT JAM conducted by the IITs on behalf of MHRD.",0
How to take admission to IIT Bhilai BTech programme?,"Candidates aspiring to take admission to BTech programme must appear for JEE Main and JEE Advanced exams, followed by JoSAA Counselling.",0
Is it necessary to live in a hostel at IIT Bhilai?,IIT Bhilai is a fully residential campus and every student necessarily has to live on the campus. Living in the hostel helps students to organise and participate in campus activities for all-round development.,0
Is there any attendance policy at IIT Bhilai?,"Yes, the students need to have a minimum attendance of 75%. If students have their attendance less than that, they may get a grade down in that particular course.",0
What is the eligibility criteria for BTech programme at IIT Bhilai?,"Class 12 with Physics, Chemistry and Mathematics as compulsory subjects and a minimum aggregate of 75%. Candidates within the top 20 percentile in Class 12 conducted by the respective board are also eligible to apply for BTech programme at IIT Bhilai.",0
IIT BHILAI IS A GOOD COLLEGE???," the campus is a new one, but overall the classrooms are extremely well maintained, the faculties are really helpful, polite, qualified. The placement records are best for CSE and ECE branch while for the rest you can expect an average salary.",0
NIT Raipur or IIT Bhilai??????,i think you should take iit bhilai only if you get non core branches but if you are not getting non core branches then i don't think you should iit bhilai as it's newer iit.Whereas nit Raipur is very good and renowned in terms of placements and academic achievements. Here you can take both non core and core branches. The average package of this college is 8.7L per annum.Although iit bhilai has 10L average package but that is mainly due to its non core branches and not the core branches.,0
how is electric engineering at iit bhilai,Electrical labs have average equipment. Machines labs have the best equipment.,0
"which iit amongst iit dharwad, iit goa,iit palakkad,iit bhilai should i prefer for cse","All the institutions that you have mentioned were the premier institutions of India. You need to achieve good rank in JEE ADVANCE to secure seats in these IIT's.According to the placement and academics, my preference order of these IIT's for CSE branch would be,",0
"i got 38 (363gate score) in XE gate with 3322 rank is it feasible to apply for new iits through xe like iit bhilai , goa, bhubhneshwar and jodhpur or just wait for spot round for cutoff ideas further IIT bhilai Mtech cutoff is not given anywhere . Thankyou","cutoff score varies every year and it depends on the determining factors like number of applicants, choice of stream, seat matrix, students category and so on.",0
"Is there any limitations of iit,that only 2 years are allowed after 12th for entrance in iit?","As per the rule the candidate can attempt examination at most two times in two consecutive years. Candidates should be less than 25 years of age, with five-year relaxation for SC, ST, and PwD candidates provided candidates should have qualified the examination",0
i paid 15k and uploaded my docs in jossas first round i got iit jammu floated till last round[6th round] got iit bhilai in case i choose for drop [i didnt yet filled the registraion at iit bhilai] AM I ELIGIBLE FOR JEE ADVANCE 2021,"Let me make you clear that there are only two attempts of JEE-advance for two consecutive years after passing class-12th. For e.g., if you have passed your class 12th in 2019-20 then you can appear only for JEE-Advance of 2019-20 and 2020-21, provided that you qualify JEE-Main each time to sit for JEE-Advance.",0
I got EE in IIT Bhilai I paid the seat acceptance fees but i want to give an other try in next year This year due to covid no physical reporting is possible BY this 9th NOV if i dont pay the FEE of 40K My seat my be cancelled So after that will be elegible for giving my mains and advance in 2021?,You will be definitely eligible next year for jee mains and jee advance since yoh did not take admission in any iit. So don't worry and focus on your preparation and do well in your exams next year so that you could get better colleges of your choice.,0
can i take data science and artifical intelligence in iit bhilai?,Indian Institute of Technology Bhilai provides bachelors course in Data Science and Artificial Intelligence (DSAI) you can take admission in the college. The college provides the course Btech (DSAI) from July 2020.,0
which should be preferred?IIT Bhilai or IIT Jammu for CSE,"CSE at Jammu, I would say not at all. It has quite poor quality of peer group, almost nil alumni and no permanent campus.Regarding, IIT Bhilai, has recieved lot of socila recognition, it's also growing quite quickly. Hence, better peer group you'll getI would recommend to prefer IIT Bhila over IIT Jammu",0
which is better cse at iiit jabalpur or EE at iit bhilai?,IIIT Bhilai 1) better faculty. 2) IITG as mentor institute taking care of placements and internships. 3) Excellent tie-ups with academia and industry. 4) Great infrastructure (permanent campus is spectacular).,0
nit jaipur ece and iit bhilai DS and AI which is best?,According to web stats and data NIT Jaipur is quite better compared to IIT Bhilai,0
"In iit bhilai, which is best? Cse or artificial intelligence and data science",According to IIT BHILAI placements statistics Highest salary offered is 20 LPA while Average salary offered is 11+ LPA and this is for whole college in all branches.Due to lack of data of different branche we can not compare on that but by considering the previous year analysis and trends Data Science and Artificial students generally got 5 to 12 lakhs package while CS students always get paid above that range according to their skills.,0
"In iit bhilai, which is best? DSand AI or CSE","See,both branches are at top level.Which branch to choose is entirely depends on your interest regarding that branch, your knowledge about that branch And also depends on for which branch you feel sure about...!!!",0
Iit bhilai cse and iit  goa cse which is best?,"Both these IITs, goa and bhilai are one of the newest established IIT in India. Both the IITs have accreditation given AAA. Also, being new IITs, they are mentored or given support by other IITs .",0
IIT bhilai data science and aritificial intelligence and IIIT lucknow IT which is best  ,According to placement drive both the colleges are same as their placement statistics,0
What is special about an IITIAN?,"They know how to work hard and study smartly, that is the reason they got themselves admitted to country's most prestigious institution.",0
I m PCM student I want to get into IISER but biology is a problem for me. pls provide solution ,"Candidates can get admission through JEE Advanced in IISER.Candidates rank must be in top 10,000 to be eligible to get admission.So you need to appear in JEE main qualify in it and appear in JEE Advanced.",0
can i IIT with AIR 623 in jam 2020 Mathematics with EWS category ?,Your rank is good. IIT Kanpur has released the cutoff for IIT Jam. You can check it in their official site. cutoff marks for this year is 33.65 for general category. cutoff for EWS category is not given.  Score card will release in the end of this month so check it,0
sir my gate 2020 mark is 40.46 out of 100 and gate score is 428 in OBC catagory what is my chance for M tech in iit bhilai,you can use gate predictor,0
